to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
bankless-academy,51000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Bankless Academy: Multi-lingual Lesson on Optimism Governance"", ""application_url"": ""https://gov.optimism.io/t/final-multi-lingual-lesson-on-optimism-governance-by-bankless-academy/6134"", ""token_amount"": 34000.0, ""token_unit"": ""OP""}"
banklessdao,105592.5,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Bankless DAO: Global Campaign to spread the Optimistic vision"", ""application_url"": ""https://gov.optimism.io/t/final-banklessdao-s-global-campaign-to-spread-the-optimistic-vision/6113"", ""token_amount"": 70395.0, ""token_unit"": ""OP""}"
dappnode,75000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Dappnode: Future-proofing UI/UX of OP nodes"", ""application_url"": ""https://gov.optimism.io/t/final-dappnode-future-proofing-ui-ux-of-op-nodes/6189"", ""token_amount"": 50000.0, ""token_unit"": ""OP""}"
givepraise,168000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Praise: Improving Governance Accessibility through Contribution Based Attestations"", ""application_url"": ""https://gov.optimism.io/t/final-improving-governance-accessibility-through-praise-and-contribution-based-attestations/6150"", ""token_amount"": 112000.0, ""token_unit"": ""OP""}"
limechain,15000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""LimeChain: Extend the L1Block contract to store historical block hash da"", ""application_url"": ""https://gov.optimism.io/t/final-extend-the-l1block-contract-to-store-historical-block-hash-data/6103"", ""token_amount"": 10000.0, ""token_unit"": ""OP""}"
metagov,101250.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""DAOStar: Governance standards for the Optimism ecosystem"", ""application_url"": ""https://gov.optimism.io/t/final-daostar-governance-standards-for-the-optimism-ecosystem/6181"", ""token_amount"": 67500.0, ""token_unit"": ""OP""}"
opdelegate-michael-vander-meiden,127500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""OPdelegate.com "", ""application_url"": ""https://gov.optimism.io/t/final-opdelegate-com/6176"", ""token_amount"": 85000.0, ""token_unit"": ""OP""}"
opdelegate-michael-vander-meiden,12000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""The RetroPGF Podcast"", ""application_url"": ""https://gov.optimism.io/t/final-the-retropgf-podcast/6182"", ""token_amount"": 8000.0, ""token_unit"": ""OP""}"
pairwise-general-magic,142500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Pairwise: Tinder UX for web3 community signaling"", ""application_url"": ""https://gov.optimism.io/t/final-pairwise-tinder-ux-for-web3-community-signaling/6142"", ""token_amount"": 95000.0, ""token_unit"": ""OP""}"
scryprotocol,210000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Scry: Fully Decentralized and Independent Oracle and Data Infrastructure"", ""application_url"": ""https://gov.optimism.io/t/final-scry-protocol-fully-decentralized-and-independent-oracle-and-data-infrastructure/6141"", ""token_amount"": 140000.0, ""token_unit"": ""OP""}"
scryprotocol,90000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Scry: Fully Decentralized and Independent Oracle and Data Infrastructure"", ""application_url"": ""https://gov.optimism.io/t/final-scry-protocol-fully-decentralized-and-independent-oracle-and-data-infrastructure/6141"", ""token_amount"": 60000.0, ""token_unit"": ""OP""}"
trusted-seed,142500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Trusted Seed: REGEN Score"", ""application_url"": ""https://gov.optimism.io/t/final-regen-score/6167"", ""token_amount"": 95000.0, ""token_unit"": ""OP""}"
velodrome,525000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users"", ""application_url"": ""https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186"", ""token_amount"": 350000.0, ""token_unit"": ""OP""}"
velodrome,975000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Velodrome: Fostering Inclusive Governance through Leading Optimism Builders and Long-term Users"", ""application_url"": ""https://gov.optimism.io/t/final-velodrome-fostering-inclusive-governance-through-leading-optimism-builders-and-long-term-users/6186"", ""token_amount"": 650000.0, ""token_unit"": ""OP""}"
velodrome,150000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Velodrome: Spread Awareness Through Direct Outreach and Onboarding"", ""application_url"": ""https://gov.optimism.io/t/final-velodrome-spread-awareness-through-direct-outreach-and-onboarding/6180"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
,82500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Cryptoversidad Team: Develop the most relevant and aligned audiovisual content for the Optimism Collective"", ""application_url"": ""https://gov.optimism.io/t/final-develop-the-most-relevant-and-aligned-audiovisual-content-for-the-optimism-collective/6153"", ""token_amount"": 55000.0, ""token_unit"": ""OP""}"
,15000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Delegate Corner"", ""application_url"": ""https://gov.optimism.io/t/final-delegate-corner-podcast-mission-proposal/6058"", ""token_amount"": 10000.0, ""token_unit"": ""OP""}"
,68400.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Espacio Cripto: Let\u2019s take the Optimistic Vision to LATAM"", ""application_url"": ""https://gov.optimism.io/t/final-lets-take-the-optimistic-vision-to-latam-with-espacio-cripto/6157"", ""token_amount"": 45600.0, ""token_unit"": ""OP""}"
,8700.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Ethereum Mexico: Rumbo optimista: hacia Ethereum Mexico"", ""application_url"": ""https://gov.optimism.io/t/final-rumbo-optimista-hacia-ethereum-mexico-the-event-optimistic-road-in-the-way-to-ethereum-mexico-the-event/6179"", ""token_amount"": 5800.0, ""token_unit"": ""OP""}"
,36750.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Governance Analytics Dashboard"", ""application_url"": ""https://gov.optimism.io/t/final-op-governance-analytics-dashboard/6171"", ""token_amount"": 24500.0, ""token_unit"": ""OP""}"
,23641.5,2023-05-01,optimism,missions_season_4,"{""application_name"": ""H.E.R., LatAm: Optimistic Womxn Shinning in Blockchain"", ""application_url"": ""https://gov.optimism.io/t/final-optimistic-womxn-shining-in-blockchain/6140"", ""token_amount"": 15761.0, ""token_unit"": ""OP""}"
,6000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Latruite.eth: Create and maintain the \u2018Optimism Vision Reservoir\u2019"", ""application_url"": ""https://gov.optimism.io/t/final-create-and-maintain-the-optimism-vision-reservoir/6102"", ""token_amount"": 4000.0, ""token_unit"": ""OP""}"
,31500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""OP Labs: TechNERD program "", ""application_url"": ""https://gov.optimism.io/t/final-technerd-program/6087"", ""token_amount"": 21000.0, ""token_unit"": ""OP""}"
,112500.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""OP Labs: numbaNERD Program"", ""application_url"": ""https://gov.optimism.io/t/final-numbanerd-program/6086"", ""token_amount"": 75000.0, ""token_unit"": ""OP""}"
,23580.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Solow: Spread Optimistic values accross Latam with Solow"", ""application_url"": ""https://gov.optimism.io/t/final-spread-optimistic-values-accross-latam-with-solow/6174"", ""token_amount"": 15720.0, ""token_unit"": ""OP""}"
,150000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Spearbit + Immunefi: Bug Bounty Program for Large Protocols Building on Optimism"", ""application_url"": ""https://gov.optimism.io/t/final-spearbit-immunefi-bug-bounty-program-for-large-protocols-building-on-optimism/6187"", ""token_amount"": 100000.0, ""token_unit"": ""OP""}"
,30000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Tally: Superchain Governance Deep Dive "", ""application_url"": ""https://gov.optimism.io/t/final-superchain-governance-deep-dive/5920"", ""token_amount"": 20000.0, ""token_unit"": ""OP""}"
,225000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Thank Optimism: powered by ThriveCoin"", ""application_url"": ""https://gov.optimism.io/t/final-thank-optimism-powered-by-thrivecoin/6104"", ""token_amount"": 150000.0, ""token_unit"": ""OP""}"
,27000.0,2023-05-01,optimism,missions_season_4,"{""application_name"": ""Web3xplorer: A curated web platform to discover useful web3 apps, resources and tools"", ""application_url"": ""https://gov.optimism.io/t/final-web3xplorer-a-curated-web-platform-to-discover-useful-web3-apps-resources-and-tools/6143"", ""token_amount"": 18000.0, ""token_unit"": ""OP""}"
