to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
opensource-observer,234066.7,2024-12-06,optimism,retrofunding6,"{""application_name"": ""OSO Insights & Data Science"", ""application_url"": ""https://atlas.optimism.io/project/0x77cc2b19e794565ceacafa96ad5fdc27964b605296e0a2303acc93d12659891d"", ""token_amount"": 87995, ""token_unit"": ""OP"", ""project_id"": ""0x77cc2b19e794565ceacafa96ad5fdc27964b605296e0a2303acc93d12659891d""}"
,205833.46,2024-12-06,optimism,retrofunding6,"{""application_name"": ""numbaNERDs"", ""application_url"": ""https://atlas.optimism.io/project/0x431eb34f7f4cfd3c8eda4c60e32bf1cc0bf292d3051467903369c47ffca3a10a"", ""token_amount"": 77381, ""token_unit"": ""OP"", ""project_id"": ""0x431eb34f7f4cfd3c8eda4c60e32bf1cc0bf292d3051467903369c47ffca3a10a""}"
ethereum-attestation-service,174549.2,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Ethereum Attestation Service (EAS)"", ""application_url"": ""https://atlas.optimism.io/project/0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5"", ""token_amount"": 65620, ""token_unit"": ""OP"", ""project_id"": ""0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5""}"
growthepie,162140.30000000002,2024-12-06,optimism,retrofunding6,"{""application_name"": ""growthepie \ud83e\udd67\ud83d\udccf RetroPGF 3 tracker - Clarity for Badgeholders and Project Owners"", ""application_url"": ""https://atlas.optimism.io/project/0xa38f3efb4fb8f6fcefb80f0262645ac05d5548cad0308ee49520c48c4e8cbd1f"", ""token_amount"": 60955, ""token_unit"": ""OP"", ""project_id"": ""0xa38f3efb4fb8f6fcefb80f0262645ac05d5548cad0308ee49520c48c4e8cbd1f""}"
growthepie,162140.30000000002,2024-12-06,optimism,retrofunding6,"{""application_name"": ""growthepie \ud83e\udd67\ud83d\udccf Ethereum and Superchain Analytics"", ""application_url"": ""https://atlas.optimism.io/project/0xa38f3efb4fb8f6fcefb80f0262645ac05d5548cad0308ee49520c48c4e8cbd1f"", ""token_amount"": 60955, ""token_unit"": ""OP"", ""project_id"": ""0xa38f3efb4fb8f6fcefb80f0262645ac05d5548cad0308ee49520c48c4e8cbd1f""}"
,155024.80000000002,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Optimism Developer Advisory Board (S6)"", ""application_url"": ""https://atlas.optimism.io/project/0x74f635c5e7c0791e65d8574cf6c622125b3685017876b99661843d06608e9f90"", ""token_amount"": 58280, ""token_unit"": ""OP"", ""project_id"": ""0x74f635c5e7c0791e65d8574cf6c622125b3685017876b99661843d06608e9f90""}"
,153862.38,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Optimism Security Council [Season 6]"", ""application_url"": ""https://atlas.optimism.io/project/0x909cf5baad410ab7e00f36c7db1898a24dd4e81072cab5fb7f7c383deb1b50d4"", ""token_amount"": 57843, ""token_unit"": ""OP"", ""project_id"": ""0x909cf5baad410ab7e00f36c7db1898a24dd4e81072cab5fb7f7c383deb1b50d4""}"
voteagora,150029.32,2024-12-06,optimism,retrofunding6,"{""application_name"": ""OP Governance App"", ""application_url"": ""https://atlas.optimism.io/project/0x32942ffa0d751769bb55b53d9c32085463e9bfe668ae8aa5d4a736c46b4130c5"", ""token_amount"": 56402, ""token_unit"": ""OP"", ""project_id"": ""0x32942ffa0d751769bb55b53d9c32085463e9bfe668ae8aa5d4a736c46b4130c5""}"
,149986.76,2024-12-06,optimism,retrofunding6,"{""application_name"": "" Optimism Security Council [Season 5]"", ""application_url"": ""https://atlas.optimism.io/project/0x81a08affe3a22a1497eedf06a068eaf1477a18d904e125a3e388f5c91d387563"", ""token_amount"": 56386, ""token_unit"": ""OP"", ""project_id"": ""0x81a08affe3a22a1497eedf06a068eaf1477a18d904e125a3e388f5c91d387563""}"
,147853.44,2024-12-06,optimism,retrofunding6,"{""application_name"": ""Grants Council [Season 6]"", ""application_url"": ""https://atlas.optimism.io/project/0xb1008ff614a6942ab770dbbf4f2978d58bdc51b6b7386223b12fb5bc46b7bb29"", ""token_amount"": 55584, ""token_unit"": ""OP"", ""project_id"": ""0xb1008ff614a6942ab770dbbf4f2978d58bdc51b6b7386223b12fb5bc46b7bb29""}"
