to_project_name,amount,funding_date,from_funder_name,grant_pool_name,metadata
0x-splits,322587.405,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Splits"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x2b4aeb64146ded169a426bde053b3f9e9e925ee740a58149d92812114af83de6"", ""token_amount"": 92167.83, ""token_unit"": ""OP""}"
1w3,69565.51000000001,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""1W3"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x54763940f1803ecdd2adf48c1446268cdc3aa02e11090189cf91a78615c89d23"", ""token_amount"": 19875.86, ""token_unit"": ""OP""}"
abi-to-sol-gnidan,203463.435,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""abi-to-sol"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x8af099c741d009e71850d3a9570e2672078ad7ca5b3ee391a7d4a0b75f845be4"", ""token_amount"": 58132.41, ""token_unit"": ""OP""}"
across,133781.41,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Across Protocol"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xc69423093777bdb9ea96d3047694d4de113cc4722d9832e09bb717e570ddb941"", ""token_amount"": 38223.26, ""token_unit"": ""OP""}"
acrypto-s,0.0,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""ACryptoS"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x5cc8dc85d40909999a55201f90c714b334cc502f013209497a271934e604b9d0"", ""token_amount"": 0.0, ""token_unit"": ""OP""}"
aerodrome-finance,365218.875,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Aerodrome Finance"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x8a98ca3820628543b412f97cfb5e9d0b75987432daf1d6199a658234727c8564"", ""token_amount"": 104348.25, ""token_unit"": ""OP""}"
aestus-relay,340530.08499999996,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Aestus Relay"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x5c465f2cece28e1ba91ef5967549fec63f8b17212fba05e5e0117b442af554b8"", ""token_amount"": 97294.31, ""token_unit"": ""OP""}"
alchemyplatform,260870.61000000002,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Alchemy"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xa771de85e1b955ba11b2cb314b940ab3d9aab65fd27900fd54c7f7011c969d46"", ""token_amount"": 74534.46, ""token_unit"": ""OP""}"
alembic-tech,173913.74,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""DAC on OP Stack"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xf2be22e439749a342bfe13feb107007c7f3f3ff438d869fad8befdf3169d8ee4"", ""token_amount"": 49689.64, ""token_unit"": ""OP""}"
alloy-rs,271305.44,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Alloy"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xc7f3dfa39edf399c56c96c2c192f50e54e71faefd01a07a8b3d9e6d9471ed09c"", ""token_amount"": 77515.84, ""token_unit"": ""OP""}"
alphadayhq,0.0,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Mike-Alphaday"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xa5a8c932998fe9a2bd783bc249eb714e4c318e961b16f5fc4880224c0c915ed9"", ""token_amount"": 0.0, ""token_unit"": ""OP""}"
another-world,121739.625,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Another World"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x7cf3ce699a7d72e767947a95cf180a72884dddfd70b306daa9e7f5be52f01ba8"", ""token_amount"": 34782.75, ""token_unit"": ""OP""}"
anotherblock,173913.74,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""anotherblock"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x709b9997ca752016352dd68ed316bf912105a1a476c25c44cbf1809686fa8bbc"", ""token_amount"": 49689.64, ""token_unit"": ""OP""}"
apeworx,347827.48,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""ApeWorX LTD"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x6655fe259700452b0452aad4b8c7589c745e7df2dccefe76d70701317fd9e3b8"", ""token_amount"": 99379.28, ""token_unit"": ""OP""}"
arbiter-primitivefinance,182609.42,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Arbiter"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x64f7a2367e5de2ebdcadd967385bc304f0221568276247dae792e86d608b402a"", ""token_amount"": 52174.12, ""token_unit"": ""OP""}"
arpa-network,0.0,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""ARPA Randcast"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xb44ac303c0dcb238771f0c33978f5ae49635c364e68089886bdca1d7b1233e7a"", ""token_amount"": 0.0, ""token_unit"": ""OP""}"
attestation-station-interface-sbvegan,176616.37,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""TechNERD Program"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xf7c02a1b2ca36e04e1c42ec8238a3d18ee6952aa6055f64cc832fbc45a4213d1"", ""token_amount"": 50461.82, ""token_unit"": ""OP""}"
attestation-visualizer-xvoorvaa,17391.36,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""Xanny"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0x4549e4350b5665b8baddddf4e8795667a16dcc1a922ec38f80bf80bbb61cc576"", ""token_amount"": 4968.96, ""token_unit"": ""OP""}"
aw-labs,267559.355,2024-01-01,optimism_foundation,retropgf3,"{""application_name"": ""AW House/Komorebi's Hacker House"", ""application_url"": ""https://vote.optimism.io/retropgf/3/application/0xda538dc56054ec05476e152009df9af3e1947505e067b8363dd568a0d89c739d"", ""token_amount"": 76445.53, ""token_unit"": ""OP""}"
